x,y
0.1000  ,-0.094315552
0.0889  ,-0.084005604
0.0800  , 0.000000004
0.0727  ,-0.068928633
0.0667  , 0.000000002
0.0615  ,-0.058436543
0.0571  ,-0.054302860
0.0533  , 0.000000001
0.0500  ,-0.047571734
0.0471  ,-0.044795163
0.0444  ,-0.042324713
0.0421  , 0.000000000
0.0400  , 0.000000000
0.0381  ,-0.036315806
0.0364  ,-0.034674765
0.0348  ,-0.033175588
0.0333  ,-0.031800648
0.0320  , 0.000000000
0.0308  ,-0.029366439
0.0296  ,-0.028283907
0.0286  ,-0.027278336
0.0276  , 0.000000000
0.0267  , 0.000000000
0.0258  ,-0.024649236
0.0250  , 0.000000000
0.0242  , 0.000000000
0.0235  ,-0.022482323
0.0229  ,-0.021842264
0.0222  ,-0.021237637
0.0216  ,-0.020665580
0.0211  , 0.000000000
0.0205  ,-0.019609185
0.0200  ,-0.019120476
0.0195  , 0.000000000
0.0190  ,-0.018212663
0.0186  , 0.000000000
0.0182  , 0.000000000
0.0178  , 0.000000000
0.0174  ,-0.016633206
0.0170  ,-0.016280236
0.0167  ,-0.015941935
0.0163  , 0.000000000
0.0160  , 0.000000000
0.0157  ,-0.015006434
0.0154  ,-0.014718530
0.0151  ,-0.014441465
0.0148  ,-0.014174638
0.0145  , 0.000000000
0.0143  ,-0.013669508
0.0140  , 0.000000000
0.0138  ,-0.013199139
0.0136  ,-0.012975889
0.0133  , 0.000000000
0.0131  ,-0.012551301
0.0129  ,-0.012349260
0.0127  ,-0.012153619
0.0125  , 0.000000000
0.0123  ,-0.011780363
0.0121  ,-0.011602202
0.0119  ,-0.011429349
0.0118  ,-0.011261571
0.0116  ,-0.011098648
0.0114  , 0.000000000
0.0113  ,-0.010786545
0.0111  ,-0.010636985
0.0110  , 0.000000000
0.0108  ,-0.010349971
0.0107  ,-0.010212195
0.0105  ,-0.010078038
0.0104  ,-0.009947361
0.0103  ,-0.009820029
0.0101  , 0.000000000
0.0100  ,-0.009574900
0.0099  ,-0.009456868
0.0098  , 0.000000000
0.0096  , 0.000000000
0.0095  ,-0.009119610
0.0094  , 0.000000000
0.0093  , 0.000000000
0.0092  , 0.000000000
0.0091  , 0.000000000
0.0090  , 0.000000000
0.0089  ,-0.008512453
0.0088  ,-0.008419034
0.0087  , 0.000000000
0.0086  , 0.000000000
0.0085  ,-0.008150686
0.0084  , 0.000000000
0.0083  , 0.000000000
0.0082  ,-0.007898917
0.0082  , 0.000000000
0.0081  , 0.000000000
0.0080  , 0.000000000
0.0079  , 0.000000000
0.0078  ,-0.007512173
0.0078  , 0.000000000
0.0077  ,-0.007367875
0.0076  ,-0.007297786
0.0075  , 0.000000000
0.0075  , 0.000000000
0.0074  ,-0.007095296
0.0073  ,-0.007030273
0.0073  ,-0.006966431
0.0072  ,-0.006903739
0.0071  ,-0.006842165
0.0071  ,-0.006781679
0.0070  , 0.000000000
0.0070  , 0.000000000
0.0069  ,-0.006606473
0.0068  ,-0.006550065
0.0068  , 0.000000000
0.0067  ,-0.006440091
0.0067  , 0.000000000
0.0066  ,-0.006333749
0.0066  ,-0.006281884
0.0065  , 0.000000000
0.0065  , 0.000000000
0.0064  , 0.000000000
0.0063  ,-0.006082650
0.0063  , 0.000000000
0.0063  ,-0.005987697
0.0062  ,-0.005941324
0.0062  ,-0.005895664
0.0061  ,-0.005850700
0.0061  ,-0.005806417
0.0060  , 0.000000000
0.0060  , 0.000000000
0.0059  , 0.000000000
0.0059  ,-0.005635791
0.0058  , 0.000000000
0.0058  ,-0.005554184
0.0058  ,-0.005514260
0.0057  ,-0.005474906
0.0057  ,-0.005436110
0.0056  ,-0.005397860
0.0056  ,-0.005360144
0.0056  ,-0.005322952
0.0055  , 0.000000000
0.0055  , 0.000000000
0.0054  , 0.000000000
0.0054  , 0.000000000
0.0054  ,-0.005144473
0.0053  , 0.000000000
0.0053  ,-0.000000000
0.0053  ,-0.005043018
0.0052  ,-0.005010083
0.0052  ,-0.004977575
0.0052  ,-0.000000000
0.0051  ,-0.004913809
0.0051  ,-0.004882535
0.0051  , 0.000000000
0.0050  ,-0.004821165
0.0050  ,-0.004791056
0.0050  ,-0.000000000
0.0049  , 0.000000000
0.0049  ,-0.004702941
0.0049  , 0.000000000
0.0048  , 0.000000000
0.0048  ,-0.004618010
0.0048  , 0.000000000
0.0048  ,-0.004563073
0.0047  ,-0.004536091
0.0047  ,-0.000000000
0.0047  , 0.000000000
0.0047  ,-0.004457029
0.0046  ,-0.000000000
0.0046  ,-0.004405834
0.0046  ,-0.004380675
0.0045  , 0.000000000
0.0045  ,-0.004331209
0.0045  ,-0.000000000
0.0045  ,-0.000000000
0.0044  ,-0.004259070
0.0044  ,-0.000000000
0.0044  ,-0.004212298
0.0044  ,-0.004189295
0.0043  ,-0.000000000
0.0043  ,-0.004144034
0.0043  ,-0.004121769
0.0043  ,-0.004099742
0.0043  , 0.000000000
0.0042  ,-0.004056385
0.0042  ,-0.000000000
0.0042  , 0.000000000
0.0042  ,-0.000000000
0.0041  ,-0.000000000
0.0041  ,-0.003951904
0.0041  ,-0.000000000
0.0041  ,-0.003911603
0.0041  , 0.000000000
0.0040  ,-0.003872116
0.0040  ,-0.000000000
